rec_type,date_paid,off_nbr,cur_plcy_nbr,cur_div_nbr,cur_cls_nbr,incurr_date,pool_ind,emp_id,patient_fname,relationship,claim_nbr,trans_code,plcy_type,inv_nbr,patient_dob,date_rec,paid_plcy_nbr,paid_div_nbr,paid_cls_nbr,bank_id,ben_nbr,ee_fname,ee_lname,postal_code,sex_of_empl,province,prov_province,prov_type,prov_postal_code,patient_sex,rpt_plcy_nbr,rpt_div_nbr,rpt_cls_nbr,dt_pend_cons,cod_bnfts_flag,dep_lname,cl_serv_code,serv_code_cda,first_date,payee_code,non_dupe_flag,charge_amt,not_cov_amount,cov_amt_base_cola,base_ded_amt,base_ded_desc,base_percent,base_would_pay_amt,base_amt,cov_amt_mm_cola,amt_appl_mjr_med_ded,mjr_med_wld_pay_amt,mjr_med_amt,mjr_med_ded_desc,mjr_med_per,other_plan_paid_base,other_pln_paid_mjr_med,credt_res_amt,draft_nbr,override_code,remark_code,bank_acc_code,coord_benefits_code,sin,first_subq_pay,off_nbr_ee,savings_type,dep_nbr,pool_amt_exc,cause_code,last_dt_tooth_nbr,supp_wd_pay_amt,supp_amt,filler,product_code,disability_code,ocp_code,prov_scrn_nmbr_pay_basis,tel_nmbr_sfx_prov,diag,tax_id_nbr_prov,prov_name,prov_id_type,allow_expense,adj_nbr,pr_curr_sub_acc_code,aso_type,client_size,base_schd_amt,mjr_med_schd_amt,avg_semi_private_rate,ward_rate,eft_ind,time_paid,ctrl_nbr_cons,filler_97,draft_amount,bank_acc_nbr_eft,dlr_clm_nbr,lt_beg_dt,lt_term_dt,lt_max_exp_dt,tooth_nbr,prov_procedure_code,tooth_surface_code,ee_address,ee_city,prov_address,dinn,claim_identifier,claim_adj_loss_id
PAYD,20240401,110,051057,001,001,8,,Q105059021,JOHN,EE,124,000,41,0000000,19630207,20240401,051057,001,001,000000000,1,JOHN,JONES,R2P1E7,1,MB,ON,DS,M5R3S3,1,051057,001,001,00000000,,JONES,106,111140,20240401,T,,199.00,0.00,0.00,0.00,,0.00,0.00,0.00,199.00,50.00,119.20,119.20,D,0.80,0.00,0.00,0.00,0000000000,P,29,012,100,000000000,1,110,00,01,0.00,,00000000,0.00,0.00,,A,0000000,0,1,200053954113,,000000000,DR.BOB/ADLER,,0.00,001005,0,2,1,0.00,236.00,000.00,000.00,0,1200550,0000000000,,0.00,,000000,00000000,00000000,00000000,0,011114,,123ANYST,WINNIPEG,1466BATHURSTST,00000000,AD2K0010146,
PAYD,20240401,110,051057,001,001,8,,Q105059021,JOHN,EE,124,000,41,0000000,19630207,20240401,051057,001,001,000000000,1,JOHN,JONES,R2P1E7,1,MB,ON,DS,M5R3S3,1,051057,001,001,00000000,,JONES,098,436110,20240117,2,,175.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,D,0.00,0.00,0.00,0.00,0000000000,P,02,012,100,000000000,1,110,00,01,0.00,,00000000,0.00,0.00,,A,0000000,0,1,200053954113,,000000000,DR.BOB/ADLER,,0.00,001005,0,2,1,0.00,0.00,000.00,000.00,0,1200576,0000000000,,0.00,,000000,00000000,00000000,00000000,0,014611,,123ANYST,WINNIPEG,1466BATHURSTST,00000000,AD2K0010148,
PAYD,20240401,110,051057,001,001,8,,TSAUSEC001,ROBIN,EE,124,000,41,0000000,19740515,20240401,051057,001,001,000000000,1,ROBIN,WILLIAMS,L2H1N1,1,ON,ON,DS,M5R3S3,1,051057,001,001,20240401,,WILLIAMS,096,331030,20240116,4,,244.00,0.00,0.00,0.00,,0.00,0.00,0.00,244.00,50.00,155.20,155.20,D,0.80,0.00,0.00,0.00,0180000001,,,012,100,000000000,0,110,00,01,0.00,,00000000,0.00,0.00,,A,0000000,0,1,200053954113,,000000000,DR.BOB/ADLER,,0.00,001005,0,2,1,0.00,1019.00,000.00,000.00,0,1200569,0000000000,,155.20,,000000,00000000,00000000,00000000,360000,033131,,44PHOTOBLVD,TORONTO,1466BATHURSTST,00000000,AD2K0010149,
PAYD,20240401,110,051057,001,001,8,,TSAUSEC001,JANET,SP,124,000,41,0000000,19790616,20240401,051057,001,001,000000000,1,ROBIN,WILLIAMS,L2H1N1,1,ON,ON,DS,M5R3S3,2,051057,001,001,00000000,,,098,436110,20240119,2,,199.50,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,D,0.00,0.00,0.00,0.00,0000000000,P,37,012,100,000000000,2,110,00,02,0.00,,00000000,0.00,0.00,,A,0000000,0,1,200053954113,,000000000,DR.BOB/ADLER,,0.00,001005,0,2,1,0.00,0.00,000.00,000.00,0,1200580,0000000000,,0.00,,000000,00000000,00000000,00000000,0,014611,,44PHOTOBLVD,TORONTO,1466BATHURSTST,00000000,AD2K0010150,
PAYD,20240401,110,051057,001,001,2,,TSAUSEC003,BONNIE,ST,124,000,41,0000000,19820902,20240401,051057,001,001,000000000,1,HILLARY,DUFF,R2K1R0,2,MB,ON,DS,M5R3S3,2,051057,001,001,00000000,,,031,899990,20240113,2,,3000.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,D,0.00,0.00,0.00,0.00,0000000000,P,48,012,100,000000000,2,110,00,05,0.00,,00000000,0.00,0.00,,A,0000000,0,1,200053954113,,000000000,DR.BOB/ADLER,,0.00,001005,0,2,1,0.00,0.00,000.00,000.00,0,1200581,0000000000,,0.00,,000000,00000000,00000000,00000000,0,089999,,22BARNROAD,WINNIPEG,1466BATHURSTST,00000000,AD2K0010151,
PAYD,20240401,110,051057,001,001,9,,TSAUSEC003,HILLARY,EE,124,000,41,0000000,19540411,20240401,051057,001,001,000000000,1,HILLARY,DUFF,R2K1R0,2,MB,ON,DS,M5R3S3,2,051057,001,001,00000000,,DUFF,023,625010,20240301,1,,299.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,D,0.00,0.00,0.00,0.00,0000000000,P,04,012,100,000000000,1,110,00,01,0.00,,00000000,0.00,0.00,,A,0000000,0,1,200053954113,,000000000,DR.BOB/ADLER,,0.00,001005,0,2,1,0.00,0.00,000.00,000.00,0,1200587,0000000000,,0.00,,000000,00000000,00000000,00000000,250000,062501,,22BARNROAD,WINNIPEG,1466BATHURSTST,00000000,AD2K0010152,
PAYD,20240401,110,051057,001,001,9,,TSAUSEC003,HILLARY,EE,124,000,41,0000000,19540411,20240401,051057,001,001,000000000,1,HILLARY,DUFF,R2K1R0,2,MB,ON,DS,M5R3S3,2,051057,001,001,00000000,,DUFF,024,672110,20240301,1,,250.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,D,0.00,0.00,0.00,0.00,0000000000,P,04,012,100,000000000,1,110,00,01,0.00,,00000000,0.00,0.00,,A,0000000,0,1,200053954113,,000000000,DR.BOB/ADLER,,0.00,001005,0,2,1,0.00,0.00,000.00,000.00,0,1200587,0000000000,,0.00,,000000,00000000,00000000,00000000,240000,067211,,22BARNROAD,WINNIPEG,1466BATHURSTST,00000000,AD2K0010152,
PAYD,20240401,110,051057,001,001,9,,TSAUSEC003,HILLARY,EE,124,000,41,0000000,19540411,20240401,051057,001,001,000000000,1,HILLARY,DUFF,R2K1R0,2,MB,ON,DS,M5R3S3,2,051057,001,001,00000000,,DUFF,024,672110,20240301,1,,251.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,D,0.00,0.00,0.00,0.00,0000000000,P,04,012,100,000000000,1,110,00,01,0.00,,00000000,0.00,0.00,,A,0000000,0,1,200053954113,,000000000,DR.BOB/ADLER,,0.00,001005,0,2,1,0.00,0.00,000.00,000.00,0,1200587,0000000000,,0.00,,000000,00000000,00000000,00000000,260000,067211,,22BARNROAD,WINNIPEG,1466BATHURSTST,00000000,AD2K0010152,
PAYD,20240401,110,051160,001,300,5,,E000000V11,GEORGE,EE,223,000,41,0000000,19781222,20230603,051160,001,300,008327003,1,GEORGE,JETSON,R2L0S4,1,MB,MB,DS,R2N2S9,1,051160,001,300,20230603,,JETSON,002,012020,20230101,1,,20.00,0.00,0.00,0.00,,0.00,0.00,0.00,20.00,0.00,20.00,20.00,D,1.00,0.00,0.00,0.00,0180000024,,,012,100,000000000,0,110,00,01,0.00,,00000000,0.00,0.00,,A,0000000,0,1,204947234501,,000000000,DR.ANNIE/LENNOX,,0.00,001002,0,2,1,0.00,41.20,000.00,000.00,1,1100433,0000000000,,20.00,000002222222,000000,00000000,00000000,00000000,0,001202,,63GALAXYLANE,WINNIPEG,1625212GRAHAMAVE,00000000,AD3C0021008,
PAYD,20240401,110,051160,001,300,1,,E000000V11,JANE,SP,124,000,41,0000000,19801105,20240401,051160,001,300,000000000,1,GEORGE,JETSON,R2L0S4,1,MB,ON,DS,M5R3S3,2,051160,001,300,00000000,,,011,272110,20240123,1,,599.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,D,0.00,0.00,0.00,0.00,0000000000,P,91,012,100,000000000,1,110,00,02,0.00,,00000000,0.00,0.00,,A,0000000,0,1,200053954113,,000000000,DR.BOB/ADLER,,0.00,001005,0,2,1,0.00,0.00,000.00,000.00,0,1200585,0000000000,,0.00,,000000,00000000,00000000,00000000,0,027211,,63GALAXYLANE,WINNIPEG,1466BATHURSTST,00000000,AD2L0010211,
PAYD,20240401,110,051160,001,300,5,,E000000V12,SCOOBY,EE,223,000,41,0000000,19951217,20230603,051160,001,300,008327003,1,SCOOBY,DOO,R2L0S4,1,MB,MB,DS,R2N2S9,1,051160,001,300,20230603,,DOO,002,012020,20230101,1,,20.00,0.00,0.00,0.00,,0.00,0.00,0.00,20.00,0.00,20.00,20.00,D,1.00,0.00,0.00,0.00,0180000025,,,012,100,000000000,0,110,00,01,0.00,,00000000,0.00,0.00,,A,0000000,0,1,204947234501,,000000000,DR.ANNIE/LENNOX,,0.00,001002,0,2,1,0.00,41.20,000.00,000.00,1,1100434,0000000000,,20.00,000002222222,000000,00000000,00000000,00000000,0,001202,,73DOGHOUSEST,WINNIPEG,1625212GRAHAMAVE,00000000,AD3C0021026,
PAYD,20240401,110,051160,001,300,5,,E000000V14,HOMER,EE,223,000,41,0000000,19740422,20230603,051160,001,300,008327003,1,HOMER,SIMPSON,R2L0S4,1,MB,MB,DS,R2N2S9,1,051160,001,300,20230603,,SIMPSON,002,012020,20230101,1,,20.00,0.00,0.00,0.00,,0.00,0.00,0.00,20.00,0.00,20.00,20.00,D,1.00,0.00,0.00,0.00,0180000026,,,012,100,000000000,0,110,00,01,0.00,,00000000,0.00,0.00,,A,0000000,0,1,204947234501,,000000000,DR.ANNIE/LENNOX,,0.00,001002,0,2,1,0.00,41.20,000.00,000.00,1,1100435,0000000000,,20.00,000002222222,000000,00000000,00000000,00000000,0,001202,,98JELLYDONUTLANE,WINNIPEG,1625212GRAHAMAVE,00000000,AD4B0010544,
PAYD,20240401,110,051160,001,300,1,,E000000V14,HOMER,EE,124,000,41,0000000,19740422,20240401,051160,001,300,000000000,1,HOMER,SIMPSON,R2L0S4,1,MB,ON,DS,M5R3S3,1,051160,001,300,00000000,,SIMPSON,018,511010,20240127,2,,1500.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,D,0.00,0.00,0.00,0.00,0000000000,P,91,012,100,000000000,2,110,00,01,0.00,,00000000,0.00,0.00,,A,0000000,0,1,200053954113,,000000000,DR.BOB/ADLER,,0.00,001005,0,2,1,0.00,0.00,000.00,000.00,0,1200582,0000000000,,0.00,,000000,00000000,00000000,00000000,0,051101,,98JELLYDONUTLANE,WINNIPEG,1466BATHURSTST,00000000,AD2L0010212,
PAYD,20240401,110,051160,001,300,5,,E000000V14,BART,ST,124,000,41,0000000,20020112,20240401,051160,001,300,000000000,1,HOMER,SIMPSON,R2L0S4,1,MB,MB,DS,R3M1W5,1,051160,001,300,00000000,,,029,722210,20240102,4,,399.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,D,0.00,0.00,0.00,0.00,0000000000,P,91,012,100,000000000,1,110,00,03,0.00,,00000000,0.00,0.00,,A,0000000,0,1,200000013113,,000000000,DR.WALTER/WHITE,,0.00,001005,0,2,1,0.00,0.00,000.00,000.00,0,1200593,0000000000,,0.00,,000000,00000000,00000000,00000000,0,072221,,98JELLYDONUTLANE,WINNIPEG,885SELLERSAVE,00000000,AD2L0010213,
